,atividadeId,atividadeNome,points
0,1.0,Lavar louca,18.0
1,2.0,Limpar pia,8.4
2,3.0,Limpar fogao,18.0
3,4.0,Encher filtro,2.4
4,5.0,Encher gelo,1.0
5,6.0,Trocar lixo grande,6.0
6,7.0,Lavar panos prato/chao,30.0
7,8.0,Trocar lixo pequeno,3.6
8,9.0,Limpar mesa,2.4
9,10.0,Secar louca,14.4
10,11.0,Louca diaria (completa),8.0
11,12.0,Compra comunitaria,10.0
12,13.0,Lavar Airfryer,7.2
